GENE PRODUCT DB	Protein.Group	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A3KMH1	VWA8	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	A3KMH1	VWA8	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0204	9606	UniProt		C
UniProtKB	A6NGE7	URAD	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	A6NGE7	URAD	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0204	9606	UniProt		C
UniProtKB	A8MXV4	NUDT19	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	A8MXV4	NUDT19	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0204	9606	UniProt		C
UniProtKB	A8MXV4	NUDT19	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-6810474		9606	Reactome		C
UniProtKB	A8MXV4	NUDT19	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-9033235		9606	Reactome		C
UniProtKB	O00116	AGPS	is_active_in	GO:0005777	peroxisome	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0033983|PANTHER:PTN000922550|RGD:620364|UniProtKB:O00116	9606	GO_Central		C
UniProtKB	O00116	AGPS	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	O00116	AGPS	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0204	9606	UniProt		C
UniProtKB	O00116	AGPS	located_in	GO:0005777	peroxisome	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	O00116	AGPS	located_in	GO:0005777	peroxisome	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028589	9606	UniProt		C
UniProtKB	O00116	AGPS	located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:10415121		9606	UniProt		C
UniProtKB	O00116	AGPS	located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:9553082		9606	MGI		C
UniProtKB	O00116	AGPS	located_in	GO:0005778	peroxisomal membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0203	9606	UniProt		C
UniProtKB	O00116	AGPS	located_in	GO:0005778	peroxisomal membrane	ECO:0007005	HDA	PMID:21525035		9606	UniProt		C
UniProtKB	O00116	AGPS	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-390427		9606	Reactome		C
UniProtKB	O00116	AGPS	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-75879		9606	Reactome		C
UniProtKB	O00116	AGPS	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-9033514		9606	Reactome		C
UniProtKB	O00429	DNM1L	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	O00429	DNM1L	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0204	9606	UniProt		C
UniProtKB	O00429	DNM1L	located_in	GO:0005777	peroxisome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K1M6|ensembl:ENSMUSP00000155155	9606	Ensembl		C
UniProtKB	O00429	DNM1L	located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:12618434		9606	UniProt		C
UniProtKB	O00429	DNM1L	located_in	GO:0005777	peroxisome	ECO:0000315	IMP	PMID:23921378		9606	UniProt		C
UniProtKB	O00623	PEX12	is_active_in	GO:0005778	peroxisomal membrane	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000306679|RGD:620757|SGD:S000004628|TAIR:locus:2100890|UniProtKB:O00623	9606	GO_Central		C
UniProtKB	O00623	PEX12	is_active_in	GO:0005778	peroxisomal membrane	ECO:0000314	IDA	PMID:12751901		9606	UniProt		C
UniProtKB	O00623	PEX12	is_active_in	GO:0005778	peroxisomal membrane	ECO:0000314	IDA	PMID:9922452		9606	UniProt		C
UniProtKB	O00623	PEX12	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	O00623	PEX12	located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:9922452		9606	MGI		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017375	9606	InterPro		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0203	9606	UniProt		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	PMID:10562279		9606	UniProt		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0007005	HDA	PMID:21525035		9606	UniProt		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000314	IDA	PMID:9090384		9606	UniProt		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000314	IDA	PMID:9354782		9606	UniProt		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-8953917		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-8953946		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033235		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033236		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033485		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033499		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033514		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033516		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033527		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033533		9606	Reactome		C
UniProtKB	O00623	PEX12	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9603775		9606	Reactome		C
UniProtKB	O00628	PEX7	is_active_in	GO:0005782	peroxisomal matrix	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000522958|UniProtKB:O00628	9606	GO_Central		C
UniProtKB	O00628	PEX7	is_active_in	GO:0005782	peroxisomal matrix	ECO:0000314	IDA	PMID:11546814		9606	UniProt		C
UniProtKB	O00628	PEX7	is_active_in	GO:0005782	peroxisomal matrix	ECO:0000314	IDA	PMID:25538232		9606	UniProt		C
UniProtKB	O00628	PEX7	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	O00628	PEX7	located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:9090382		9606	UniProt		C
UniProtKB	O00628	PEX7	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033485		9606	Reactome		C
UniProtKB	O00628	PEX7	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033499		9606	Reactome		C
UniProtKB	O00628	PEX7	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033514		9606	Reactome		C
UniProtKB	O00628	PEX7	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033516		9606	Reactome		C
UniProtKB	O00628	PEX7	located_in	GO:0005778	peroxisomal membrane	ECO:0000304	TAS	Reactome:R-HSA-9033527		9606	Reactome		C
UniProtKB	O00628	PEX7	located_in	GO:0005782	peroxisomal matrix	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0202	9606	UniProt		C
UniProtKB	O00628	PEX7	located_in	GO:0005782	peroxisomal matrix	ECO:0000314	IDA	PMID:11931631		9606	UniProt	part_of(CL:0002620)	C
UniProtKB	O14678	ABCD4	NOT|located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:19010322		9606	UniProt		C
UniProtKB	O14678	ABCD4	NOT|located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:27456980		9606	UniProt		C
UniProtKB	O14678	ABCD4	is_active_in	GO:0005778	peroxisomal membrane	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1349215|MGI:MGI:1349216|PANTHER:PTN004256010|RGD:1562128|RGD:2007|RGD:69244|SGD:S000001671|SGD:S000006068|UniProtKB:P28288|UniProtKB:P33897|UniProtKB:Q57Y09|UniProtKB:Q94FB9	9606	GO_Central		C
UniProtKB	O14678	ABCD4	located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:14533738		9606	UniProt		C
UniProtKB	O14678	ABCD4	located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:9302272		9606	UniProt		C
UniProtKB	O14734	ACOT8	is_active_in	GO:0005782	peroxisomal matrix	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000115913|UniProtKB:O14734	9606	GO_Central		C
UniProtKB	O14734	ACOT8	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	O14734	ACOT8	located_in	GO:0005777	peroxisome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P58137|ensembl:ENSMUSP00000099383	9606	Ensembl		C
UniProtKB	O14734	ACOT8	located_in	GO:0005782	peroxisomal matrix	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0202	9606	UniProt		C
UniProtKB	O14734	ACOT8	located_in	GO:0005782	peroxisomal matrix	ECO:0000314	IDA	PMID:10092594		9606	UniProt		C
UniProtKB	O14734	ACOT8	located_in	GO:0005782	peroxisomal matrix	ECO:0000315	IMP	PMID:14709540		9606	UniProt		C
UniProtKB	O14734	ACOT8	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-193385		9606	Reactome		C
UniProtKB	O14734	ACOT8	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-2066779		9606	Reactome		C
UniProtKB	O14734	ACOT8	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-390304		9606	Reactome		C
UniProtKB	O14734	ACOT8	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-5690042		9606	Reactome		C
UniProtKB	O14734	ACOT8	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-9033235		9606	Reactome		C
UniProtKB	O14832	PHYH	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	O14832	PHYH	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0204	9606	UniProt		C
UniProtKB	O14832	PHYH	located_in	GO:0005777	peroxisome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P57093|ensembl:ENSRNOP00000024362	9606	Ensembl		C
UniProtKB	O14832	PHYH	located_in	GO:0005777	peroxisome	ECO:0000314	IDA	PMID:9326939		9606	UniProt		C
UniProtKB	O14832	PHYH	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-389639		9606	Reactome		C
UniProtKB	O14832	PHYH	located_in	GO:0005782	peroxisomal matrix	ECO:0000304	TAS	Reactome:R-HSA-9033514		9606	Reactome		C
UniProtKB	O14975	SLC27A2	is_active_in	GO:0005778	peroxisomal membrane	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000645309|RGD:71103|UniProtKB:O14975	9606	GO_Central		C
UniProtKB	O14975	SLC27A2	located_in	GO:0005777	peroxisome	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0576	9606	UniProt		C
UniProtKB	O14975	SLC27A2	located_in	GO:0005777	peroxisome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35488|ensembl:ENSMUSP00000057595	9606	Ensembl		C
UniProtKB	O14975	SLC27A2	located_in	GO:0005778	peroxisomal membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0203	9606	UniProt		C
